solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,act_tol,removal_method
12,iterative,auto,warm,1,0.0,True,0,100,0.5,0.2,fixed,1000,100,100,0.0,1,,4950,101,0.0103428040019935,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,1,100,0.5,0.2,fixed,1000,1000,1000,100.0,1,,4950,1001,0.03670440999849234,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,2,100,0.5,0.2,fixed,1000,1000,1000,1000.0,1,,4950,1001,0.03250803300034022,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,3,100,0.5,0.2,fixed,1000,1000,1000,1000.0,1,,4950,1001,0.033041970997146564,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,4,100,0.5,0.2,fixed,1000,1000,1000,552.0,1,,4950,1449,0.05405463599890936,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,5,100,0.5,0.2,fixed,1000,1000,1000,397.0,1,,4950,2052,0.09791230900009397,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,6,100,0.5,0.2,fixed,1000,1000,1000,413.0,1,,4950,2639,0.1559647230023984,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,7,100,0.5,0.2,fixed,1000,1000,1000,718.0,1,,4950,2921,0.19989645299938275,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,8,100,0.5,0.2,fixed,1000,1000,1000,844.0,1,,4950,3077,0.21315088199844467,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,9,100,0.5,0.2,fixed,1000,1000,1000,846.0,1,,4950,3231,0.32849275999978994,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,10,100,0.5,0.2,fixed,1000,1000,1000,834.0,1,,4950,3397,0.7880306760016538,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,11,100,0.5,0.2,fixed,1000,1000,1000,817.0,1,,4950,3580,1.3298836200010555,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,12,100,0.5,0.2,fixed,1000,1000,1000,832.0,1,,4950,3748,2.201007818002836,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,13,100,0.5,0.2,fixed,1000,1000,1000,877.0,1,,4950,3871,2.5098487880022726,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,14,100,0.5,0.2,fixed,1000,1000,1000,843.0,1,,4950,4028,4.164128044998506,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,15,100,0.5,0.2,fixed,1000,1000,1000,836.0,1,,4950,4192,6.597985811000399,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,16,100,0.5,0.2,fixed,1000,1000,1000,859.0,1,,4950,4333,9.021533549999733,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,17,100,0.5,0.2,fixed,1000,1000,1000,821.0,1,,4950,4512,11.068830503001664,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,18,100,0.5,0.2,fixed,1000,1000,1000,853.0,1,,4950,4659,14.2697298589992,0.0001,dual_0_once
12,iterative,auto,warm,1,0.0,True,19,100,0.5,0.2,fixed,1000,1000,1000,838.0,1,,4950,4821,19.13286171800064,0.0001,dual_0_once
